,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
19,19.0,Colombia,109505,,3777.0,,45334.0,,60394.0,335.0,2152.0,74.0,818703.0,16089.0,50885910.0,465.0,13473.0,62.0
20,20.0,Canada,105211,+120,8668.0,+5,68868.0,+175,27675.0,2118.0,2787.0,230.0,2885746.0,76455.0,37744314.0,359.0,4354.0,13.0
21,21.0,Qatar,99183,+530,123.0,+2,90387.0,"+1,804",8673.0,176.0,35324.0,44.0,376881.0,134226.0,2807805.0,28.0,22828.0,7.0
22,22.0,Argentina,72786,,1453.0,+16,25930.0,+706,45403.0,620.0,1610.0,32.0,390382.0,8637.0,45198395.0,621.0,31107.0,116.0
23,23.0,Egypt,72711,,3201.0,,19690.0,,49820.0,41.0,711.0,31.0,135000.0,1319.0,102336953.0,1407.0,31970.0,758.0
24,24.0,Sweden,71419,,5420.0,,,,,124.0,7071.0,537.0,519113.0,51399.0,10099756.0,141.0,1863.0,19.0
25,25.0,Belarus,63270,+273,418.0,+6,50669.0,+760,12183.0,89.0,6696.0,44.0,1059299.0,112104.0,9449289.0,149.0,22606.0,9.0
26,26.0,Indonesia,62142,"+1,447",3089.0,+53,28219.0,+651,30834.0,,227.0,11.0,894428.0,3270.0,273539841.0,4402.0,88553.0,306.0
27,27.0,Belgium,61838,+111,9771.0,+6,17091.0,+18,34976.0,32.0,5335.0,843.0,1284605.0,110837.0,11590064.0,187.0,1186.0,9.0
28,28.0,Ecuador,60657,,4700.0,,28391.0,,27566.0,288.0,3438.0,266.0,158730.0,8996.0,17643922.0,291.0,3754.0,111.0
29,29.0,Iraq,58354,"+2,334",2368.0,+106,31077.0,"+1,477",24909.0,333.0,1451.0,59.0,589377.0,14653.0,40221975.0,689.0,16986.0,68.0
30,30.0,UAE,50857,+716,321.0,+3,39857.0,+704,10679.0,1.0,5142.0,32.0,3500000.0,353858.0,9890980.0,194.0,30813.0,3.0
31,31.0,Netherlands,50335,,6113.0,,,,,28.0,2938.0,357.0,616376.0,35971.0,17135244.0,340.0,2803.0,28.0
32,32.0,Kuwait,49303,+631,365.0,+5,39943.0,+667,8995.0,144.0,11544.0,85.0,399498.0,93542.0,4270789.0,87.0,11701.0,11.0
33,33.0,Ukraine,47677,+914,1227.0,+15,21115.0,+557,25335.0,102.0,1090.0,28.0,705836.0,16141.0,43730137.0,917.0,35640.0,62.0
34,34.0,Kazakhstan,45719,"+1,644",188.0,,26750.0,+499,18781.0,121.0,2435.0,10.0,1590144.0,84682.0,18777808.0,411.0,99882.0,12.0
35,35.0,Oman,45106,"+1,177",203.0,+10,26968.0,+799,17935.0,116.0,8833.0,40.0,202837.0,39723.0,5106343.0,113.0,25154.0,25.0
36,36.0,Singapore,44664,+185,26.0,,40117.0,+348,4521.0,2.0,7634.0,4.0,757746.0,129515.0,5850663.0,131.0,225026.0,8.0
37,37.0,Portugal,43569,+413,1605.0,+7,28772.0,+348,13192.0,73.0,4273.0,157.0,1205593.0,118238.0,10196343.0,234.0,6353.0,8.0
38,38.0,Philippines,41830,"+1,494",1290.0,+10,11453.0,+380,29087.0,166.0,382.0,12.0,798476.0,7286.0,109587217.0,2620.0,84951.0,137.0
